image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch3,0.75,0.5994026203404921,0.6500090597453515,1.0560880724303254,1.0004823836530063,1.0451932835605056,1.0506478953483895,1.0967976112300746,0.7303622388924532,1.0506478953483895,1.3953368768867234,1.3498996258981595,1.746556898586473,0.14249614225755367,0.0989197539579512,0.0190667398393721
batch3,0.25,0.686667354932669,0.8070101924852239,1.0402139715257808,0.7663523993568497,1.0269644589760654,1.2537878608440904,1.1486061117720046,0.9858275711299627,1.4168923741766692,1.2256002610965775,1.4951441402085601,2.181005272804264,0.08702395616401559,0.10451695887370294,0.20005237072665302
batch3,0.5,0.6991150018743343,0.6902889625081959,1.2940124092229746,2.098676725939468,0.7519867020100832,1.480755212720861,1.2408239198210167,0.9214575410728385,1.480755212720861,5.778965651394722,6.583394565116083,9.048416215006911,0.2936166356318129,0.22423621594955204,0.1545412504580172
batch3,1.0,0.720575603936189,0.5391290331785142,0.9142424768057973,1.1207809777115232,0.878706435619999,0.9084327162756737,0.7166937979360496,0.9696648905678696,0.9084327162756737,1.4075333033360158,1.1737759581794114,1.0390500469178563,0.06793436524494847,0.10311716231396248,0.02074052854986407
batch1,0.75,0.9534166263756957,0.6694815218174708,1.3091807702159985,1.2457608117130685,0.5981839182057602,1.315087829766513,1.329631527905382,0.9485905333704304,1.315087829766513,2.177135733021715,1.7511778893076486,3.1457679507554257,0.2285088962797035,0.10677557696566164,0.026986349279213374
batch1,0.25,1.1835376895528131,0.8769793420512505,1.0448018670733707,1.4492787861553753,1.022585448752331,0.8964870328119638,1.431994762560255,1.0520841221119175,0.970818726642621,1.6908012893300028,1.140035525762247,1.275260365572458,0.12047191433804144,0.11130787836438782,0.13228969957045553
batch1,0.5,1.3849984041856476,0.8922428575368925,1.3388070014793931,1.7963696724226885,0.9271547875085376,1.3988223618458488,1.6324656198523737,1.3468541123670386,1.3988223618458488,1.5509171480127484,1.2186943833463773,2.03201968494402,0.3129597449057931,0.27652244445171403,0.13150084449615562
batch1,1.0,1.6841707874440732,1.0500897165480723,1.6746814778601922,1.9017031839906056,1.1690487586067633,1.678138850035955,2.1484529317627623,1.7339766434413157,1.678138850035955,1.2918881530535087,1.5286186574813267,1.6297699224123625,0.23853766679999933,0.12384997313913701,0.057070598982396505
batch2,0.75,0.718181481429873,1.0332904680547486,1.2573319180128064,0.7590131751162152,0.9179482556222882,1.2509952038277365,1.3861100244930047,1.1595813899851988,1.2509952038277365,1.0414897983177749,1.5787428542989532,3.10940331896652,0.06368368403162424,0.09815411297486856,0.009738058139833724
batch2,0.25,1.4359070256956876,1.2504779302405022,1.4493436394735928,1.3145250092714074,1.2662164112030803,1.5473719656242966,1.8197736122935726,1.1830908671780056,1.9789795350129318,1.7474484255622504,1.5344393112795327,1.379985507170274,0.19857032376203063,0.11519015388402562,0.14736375424927167
batch2,0.5,1.3687976485132336,1.1331269350694304,1.3312261921807844,1.902161927912552,1.370452480022565,1.4778024225179756,1.6322438543305964,1.77091501772389,1.4778024225179756,3.1228544634676805,2.8259759376187246,2.819202014755238,0.11381861337440394,0.12016579008525874,0.23577431281724393
batch2,1.0,1.1345875852449725,1.0731863379525481,1.852348888527211,0.9511957934621043,1.1600909177732592,1.8425182326099228,2.1604596588457747,1.2753179750556323,1.8425182326099228,3.831500807451306,4.157771150207764,4.220618845323514,0.24363889531394722,0.17226710997378358,0.009839251115396661
