image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch3,0.75,0.3530302951179135,0.4221512792246884,0.023538069793421896,0.9797958971132711,0.9165151389911679,0.0,0.7483314773547882,0.3,0.0,1.3416407864998738,1.6763054614240211,2.4677925358506134,0.14249614225755378,0.098919753957951,0.01906673983937203
batch3,0.25,0.5709228167889578,0.7086600208668732,0.9989474008962833,0.6324555320336759,0.9165151389911679,1.1135528725660044,1.1832159566199232,1.0198039027185568,1.445683229480096,0.8717797887081347,1.0999999999999999,1.7888543819998317,0.08702395616401544,0.10451695887370287,0.20005237072665305
batch3,0.5,0.6122291599113548,0.48086318112394477,0.2528880733111785,2.0591260281974,0.806225774829855,0.0,1.284523257866513,1.4696938456699071,0.0,5.539855593785816,5.670978751503131,7.909487973314076,0.2936166356318129,0.22423621594955184,0.1545412504580171
batch3,1.0,0.38317403485622553,0.2811491319851473,0.03007634279629092,0.9921567416492215,0.6959705453537527,0.0,0.33071891388307384,0.5,0.0,1.2686114456365274,1.3228756555322954,1.3169567191065923,0.06793436524494853,0.10311716231396242,0.02074052854986408
batch1,0.75,0.9453833420626779,0.8136937512695064,0.027700763588031297,0.0,0.4898979485566356,0.0,1.9209372712298545,1.2,0.0,1.9493588689617927,1.7320508075688772,3.2078029864690882,0.22850889627970367,0.10677557696566158,0.026986349279213378
batch1,0.25,0.7101950482733577,0.7154109509817692,0.8993522321315488,0.8717797887081347,0.8,1.1357816691600546,0.8306623862918076,0.8717797887081347,0.9,1.1832159566199232,1.0198039027185568,1.0770329614269007,0.1204719143380414,0.11130787836438774,0.13228969957045555
batch1,0.5,0.930472862364508,0.6972744687894429,0.2759377002336578,1.2489995996796797,0.8,0.0,1.0999999999999999,1.004987562112089,0.0,1.0198039027185568,1.118033988749895,1.5524174696260025,0.3129597449057931,0.2765224444517142,0.13150084449615562
batch1,1.0,0.9189905991249334,0.7973235057365361,0.0635255246967705,1.4086784586980805,0.33071891388307384,0.0,1.5,1.4947825928876748,0.0,0.8569568250501305,1.165922381636102,0.6614378277661477,0.23853766679999933,0.12384997313913693,0.057070598982396546
batch2,0.75,0.503103639689477,0.5135380486125624,0.01551211313006709,0.45825756949558394,0.4898979485566356,0.0,1.5779733838059498,1.0198039027185568,0.0,1.3266499161421599,1.8027756377319946,2.5317977802344322,0.06368368403162429,0.09815411297486869,0.009738058139833692
batch2,0.25,0.5225834907861511,0.40797245546551125,1.0028181696013292,0.7000000000000001,0.4898979485566356,1.0440306508910548,0.9,0.6,1.6,1.004987562112089,0.7483314773547882,1.2041594578792296,0.1985703237620308,0.11519015388402606,0.14736375424927148
batch2,0.5,0.449410986264646,0.4055632465841042,0.40569617048742274,1.2,1.0,0.0,1.0198039027185568,1.1874342087037917,0.0,2.8354893757515653,2.90516780926679,2.4979991993593593,0.1138186133744039,0.12016579008525889,0.23577431281724393
batch2,1.0,0.6352014295418437,0.4027428130556772,0.018609065747640312,0.5,0.5994789404140899,0.0,1.79843682124227,0.6959705453537527,0.0,3.418698582794336,4.29934588047996,3.968626966596886,0.24363889531394733,0.1722671099737836,0.009839251115396661
