B,G,R
80,58,0
80,58,0
80,59,0
80,59,0
80,59,0
81,60,0
81,60,0
81,60,0
81,60,0
81,60,0
80,61,0
79,60,0
81,61,3
81,61,3
77,57,0
78,58,0
79,61,2
79,61,0
78,60,0
78,60,0
79,61,2
80,62,3
80,62,3
79,61,2
75,57,0
78,60,1
79,61,0
78,60,0
78,60,0
81,63,2
81,63,2
80,62,1
83,62,0
84,63,1
85,64,2
84,63,1
84,64,0
85,65,0
85,65,0
85,65,0
84,64,0
85,65,0
85,64,2
85,64,2
84,63,1
83,62,0
83,62,0
83,62,0
83,62,0
82,61,0
81,60,0
82,61,0
83,62,0
84,63,1
84,63,2
83,62,1
83,62,0
82,61,0
81,60,0
81,60,0
82,61,0
83,62,0
84,64,0
84,64,0
84,63,2
82,61,0
81,60,0
82,61,0
82,61,0
82,61,0
82,61,0
84,63,1
82,61,0
82,61,0
82,61,0
82,61,0
82,61,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
82,61,0
82,61,0
82,61,0
81,60,0
80,59,0
80,59,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
82,61,0
82,61,0
83,62,0
83,62,0
84,63,1
84,63,1
83,62,0
83,62,0
82,61,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
79,60,0
79,60,0
80,61,0
81,62,1
84,63,1
83,62,0
83,62,0
84,63,1
84,63,1
85,64,2
85,64,2
85,64,2
83,63,0
83,63,0
83,63,0
84,64,0
83,63,0
84,64,0
83,63,0
83,63,0
84,64,0
85,65,0
85,65,0
84,64,0
83,63,0
82,62,0
83,63,0
84,64,0
85,65,0
83,63,0
83,63,0
85,65,0
85,65,0
85,65,0
83,65,0
82,64,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
81,62,1
80,61,0
80,61,0
80,61,0
79,61,0
78,60,0
80,61,0
80,61,0
81,62,1
80,61,0
80,61,0
80,61,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
82,64,0
82,64,0
81,63,0
81,63,0
82,64,0
82,64,0
82,64,0
82,64,0
81,63,0
80,62,0
80,62,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
80,62,0
81,63,0
81,63,0
83,63,0
84,64,0
84,64,0
84,64,0
84,64,0
84,64,0
84,64,0
84,64,0
84,64,0
85,65,0
85,65,0
86,66,1
86,66,1
85,65,0
84,64,0
84,64,0
84,63,2
83,62,1
83,62,0
83,62,0
84,63,1
84,63,1
84,64,0
84,64,0
84,64,0
84,64,0
85,65,0
84,64,0
84,64,0
84,64,0
84,64,0
85,65,0
87,65,0
87,65,0
87,64,2
85,62,0
83,62,0
83,62,0
83,62,0
83,62,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
81,63,0
80,64,0
81,65,0
84,63,1
84,63,1
84,63,1
83,62,0
82,61,0
81,60,0
82,62,0
83,63,0
85,65,0
85,65,0
80,58,0
81,59,1
81,60,0
81,60,0
81,60,0
81,60,0
82,61,0
82,61,0
82,61,0
82,61,0
80,61,0
78,59,0
80,60,2
81,61,3
77,57,0
78,58,0
78,60,1
78,60,0
78,60,0
78,60,0
79,61,2
80,62,3
80,62,3
79,61,2
76,58,0
78,60,1
79,61,0
78,60,0
78,60,0
79,61,0
79,61,0
79,60,0
83,62,0
84,63,1
84,63,1
83,62,0
83,63,0
84,64,0
85,65,0
85,65,0
86,66,1
86,66,1
86,65,3
86,65,3
85,64,2
84,63,1
83,62,0
82,61,0
84,63,1
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,1
82,61,0
83,62,0
82,61,0
82,61,0
82,61,0
82,61,0
83,62,0
83,63,0
83,62,0
85,64,3
83,62,1
82,61,0
83,62,1
83,62,0
82,61,0
82,61,0
83,62,0
83,62,0
83,62,0
82,61,0
82,61,0
82,61,0
83,62,0
83,62,0
83,62,0
84,63,1
84,63,1
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
83,62,0
