image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch1,2.5,1.5731678248678809,0.582369626052738,3.1663657824157867,1.39042578484495,0.7093750250781963,3.2594075461717034,2.5391811802771778,0.5893365629758005,3.220630721369512,1.7738284799633361,0.7432632630157506,4.161613344508861,0.07125900030264812,0.05597798600302087,0.17592658933998848
batch1,2.0,0.36819038143053606,0.5718989107891583,2.8231782536858425,1.1939453430353724,0.804208753915073,3.198481321901394,0.7631361641679386,0.7073647298669001,2.6916945502302654,1.3049993490842178,1.8757444574077156,3.527242680025352,0.11246060722680729,0.11630721189423673,0.2863734355398582
batch1,8.0,2.2170649152915276,0.7242745790545143,3.9130858212618436,2.0161621531068272,0.9193961695084926,3.972725755593066,2.316991284291835,0.8619974153697674,2.8077496783598046,3.1090559521139247,1.948982995452979,3.971983630461166,0.07332626320130387,0.17250896848812572,0.3329356908904492
batch1,20.0,1.1444971167576772,0.7625370212903012,3.4870703622321537,1.6254780793616317,1.152439892558963,3.7433485635423107,0.626786952700804,0.8344609975576427,2.686108254286218,1.3061471759381267,2.3536088248890836,4.9316364507992425,0.2293192571411141,0.11548249461296667,0.43380067064209527
batch1,10.0,1.3484434956849825,0.6986910811642041,1.3183415295485266,2.197418571298956,0.7382951688515719,2.3708135774196952,1.1066908155081927,0.6771967976223645,1.0006507914822607,2.048464418402156,1.1115067240505008,1.3502101979688397,0.29304377809140253,0.09980057047609006,0.27060171794828
batch1,15.0,1.6284830696171735,0.37093137513436036,4.654741382580578,2.307450438816882,0.4985745929129811,5.2225609270696545,1.219320535714506,0.7063749957260544,3.7756185069799524,1.1643773753821882,0.9232864591076236,4.245498937917976,0.23343522234569444,0.10136138626842893,0.32037355468303397
batch1,25.0,1.2645647230591643,0.5488764209139187,4.2762937528568825,1.953662650292428,1.6828909546487298,4.503919591985986,0.7563001298211663,0.8552027676356283,3.09712216207781,2.536998984839687,0.5599103438185806,4.611971966545466,0.25899998245963474,0.0840925638563268,0.45893176092751586
batch1,0.0,2.578050847480885,0.35564217069677095,5.90694782297629,3.6171327830903466,1.4767030640177696,5.049743708710201,1.5436356750958962,0.5858690663702611,4.859405232860616,3.1271616074866975,0.4746031165016,6.938314191003087,0.22224978496342238,0.18834573696082266,0.43080939299697774
batch1,40.0,1.4895694612283625,0.6678116624306335,6.26438017330604,1.5738467174616726,1.7148871097558698,6.673908902722797,1.1865652257431687,0.8402947903179825,5.0015700920143535,2.0331898874741023,0.3935968327284445,6.67136035002913,0.367973037149384,0.1751071810547761,0.362630483454444
batch1,30.0,1.6894116878102887,1.0810890440184442,3.553141186263284,2.3989872288380507,2.1048360666701957,3.925823635182524,0.9388915070388175,1.6979810777521052,2.116527378248898,2.292276705774625,0.9865515415690477,3.9387664260546877,0.2121170074024671,0.11838829513573182,0.3517161729115471
batch1,50.0,0.9650587403242393,0.7184836062382777,5.954501658088444,1.0302938429281396,0.837835887933124,5.9750133418777,0.9631715216995901,1.00429029411316,4.87095320562451,6.4291671862778985,5.175022317477866,12.266764643800704,0.14187150145493793,0.150109545436523,0.3829500603237482
batch1,0.5,1.8729688589072713,0.4219653081144166,5.94551325633443,1.5629291617073826,1.5415583605738612,6.918345164699829,2.269572086433949,0.8113697495585414,4.733265862059319,2.6588849283377534,0.6707660093826393,6.375158298322432,0.10317843013525335,0.30766143754616293,0.6054302524096064
batch1,1.0,1.923492962411872,0.6099933418179706,4.028149829787535,2.5235191295470027,0.7984057183470159,4.487885562896519,0.9054114121875705,0.7881190658329628,3.112998799368357,2.5905306087629887,1.2361550534339383,4.452697372515674,0.2902420849009381,0.16502021336694025,0.2560304063457776
batch1,5.0,1.0639678128805534,0.7292504249471259,4.035782835291722,1.469451218160283,0.8901967017491715,4.446822915054426,0.9305895776532871,0.7353772381518875,3.253922944430223,1.3055372444176039,1.3069087271428463,4.35380110228153,0.23626277321129568,0.19121353529023782,0.41537559587904405
batch2,2.5,1.3152220509564303,0.5497801976511079,4.263091806411156,2.021488851962439,0.9107452644839702,5.049832662389866,1.2003937723066036,0.782693577182204,3.9065523038443337,3.2022382849969304,1.9194164140908538,5.4431140377889236,0.2135360739452339,0.2019976270620719,0.24481435554058076
batch2,2.0,0.7834106467989647,0.5744190104875028,2.8212324228898336,2.1068353011450642,1.1714023253660615,3.330214716432748,0.6647097123048078,1.1418429366014609,2.177526424188486,1.0437737146386699,2.157434325624359,4.20870539866346,0.12672553565054662,0.14928017205021513,0.2705797863792629
batch2,8.0,1.8272236789713083,0.7951229291558234,5.674741183506119,1.807079617645762,1.473762972773893,5.674538121930736,1.1250067248512499,1.30987150501019,4.818641330804633,2.349760067491068,0.8072368275632176,6.2422066595696855,0.3173448886235671,0.07434299486172413,0.16804868322084035
batch2,20.0,0.6574645951133129,0.4079969614771221,4.313727000648505,1.1396236192333224,0.9368157678122152,4.324129862309724,1.101857712869072,1.0824510411114092,3.815040837707067,0.9945929953546718,0.9691369152447619,4.464009555263505,0.24652073851277026,0.11323222076721425,0.21639614021047043
batch2,10.0,0.8861865891292289,0.28975535285292403,3.2608839110634027,1.5435324837961297,0.7380892595179369,3.5587246727663766,0.5571428078778737,0.5224074652844772,2.850583565501047,0.9382507811354123,0.5979607746543615,3.7282933372486373,0.18198779760968042,0.12301153457548766,0.19143773538934672
batch2,15.0,1.3180002373464323,0.5825577194100171,4.0657185975938575,1.4376431432544154,0.908564719325659,4.3078911037447885,0.8191615917453559,0.536452686285095,3.26202536026537,2.3427826481784244,1.1168087142087157,4.378308026145906,0.16952021068895273,0.12461724249944273,0.17404489672748874
batch2,25.0,0.5442373881814312,0.4570962792979183,0.7124956654232165,1.893876402840519,0.6683684725432916,1.1685425019346052,0.5919310751406168,0.809898731649989,0.8885403315891148,0.5889878965580619,0.6963721028963239,0.9792787353674332,0.10707304785924336,0.11937952432845507,0.083537450253334
batch2,0.0,0.7044582396150303,0.9017692226698961,4.172259116059676,1.9312339297199184,1.8019624856861567,4.425158599304462,0.8145734202328004,1.1116443840907424,3.3142254753660993,1.5053546744734605,1.0978934222501604,4.588173664942841,0.12194522588996233,0.03816126304530476,0.26050928148030156
batch2,40.0,1.5851893169910887,1.236204619934505,5.647186849967625,0.8658455747903375,1.2397184699949124,6.940429903899522,1.699244098414111,1.8653490259844985,5.377189983176892,1.5222045137090985,1.32802020905701,6.185331485561575,0.09466461789443988,0.14327562984129058,0.15865306635557397
batch2,30.0,0.7462755231816804,0.24684218152511062,4.2322229168930265,0.6273772866784554,0.6240303801732915,4.9547600310834605,0.9851601180430778,0.9718263682502938,3.7014428896082063,1.388706117921652,0.7563188664272911,4.2379982066418895,0.13799685099476094,0.06679154797433386,0.19750768288775378
batch2,50.0,0.7416926331449013,1.1781681456929316,2.820207116890921,1.9228770237729493,1.3727169112297994,2.964017766905451,0.7704810638818318,0.8208631089312651,2.9178868348553437,1.6495704235186917,0.755068331393046,3.229673766557455,0.1292008956224554,0.08908730483216946,0.08577466428757685
batch2,0.5,0.7671456721222955,0.4771707100069329,0.6647157799521233,1.3255956973812861,0.7178128515308903,0.8135222091504436,1.3154197450386789,0.9548125683882616,1.0362292528530959,1.083599084804784,1.1333958335645566,1.0977411779733235,0.22698308804133946,0.10628161353301675,0.07633773035546615
batch2,1.0,1.0234462875009065,0.634506825218158,3.7558056738106775,1.177265079646407,0.623140658182835,4.1281334359900095,1.1501784256191458,0.5632632635277308,3.2690025094064814,1.5868620220489706,0.5814833209321798,4.188974380370883,0.26291268145571456,0.12480977610495585,0.2213037379967908
batch2,5.0,1.2246379465297765,0.7194258426791763,4.514601461361829,1.347115100961201,1.1147341913417876,4.19553014167798,1.0045965315540397,0.7858561679285605,3.5029142628736842,1.889666543106209,0.6373546072374014,4.7484012969852,0.29039821459918835,0.08241488056354689,0.18605248525759577
batch3,2.5,1.0025001239099522,0.39779477928653,3.5734023883036246,0.7178144879248937,0.5549768790901547,3.5267834630470527,1.1214260675318333,0.7738982167325055,3.348669941768362,1.1014978470773171,0.805056405869559,3.573714281680662,0.17771695409861013,0.04743596356053185,0.1310557205436875
batch3,2.0,1.302664582472751,0.23209317023383588,0.9855159349732403,1.7029380166037298,0.723789586228728,1.3409171194381437,1.3576216417261262,0.628616294768196,1.6766897198605208,1.3635923676440251,0.43535638714568475,1.1167373284575761,0.2335665595005698,0.13694135832870677,0.12079808814459868
batch3,8.0,1.4669734229701752,0.8962675113452043,2.6609589603626276,1.5671352138433594,0.6974305218387759,2.61189203384392,1.2992834360802352,0.8699904922853258,2.445874631732847,1.484958836591287,1.3340619433613514,2.997288419017136,0.30300140252385127,0.09614190412391838,0.17395788695714176
batch3,20.0,0.2872493722377894,0.09898716851153674,0.6879156962734017,0.2976754376367671,0.6571338263914956,0.8701513222793612,0.4633353526522746,0.4116703847573014,0.7492073820683334,1.1762833559945836,0.3350554926901726,0.6115006890140161,0.11171196675251414,0.0762032746469502,0.08915627468598755
batch3,10.0,1.2828646916308315,0.6627063253249664,4.583622676263799,1.5806155146804888,0.8798481781251606,4.7775116940526505,0.8655006307017926,1.2488328146802663,4.135084846606662,1.7978900250021728,0.9524701385237953,4.87907334936224,0.2826373803698119,0.08234568161443286,0.11008811596534429
batch3,15.0,1.3885382914145086,0.7929484454171937,3.8573860247348963,1.440457110051818,0.7688005150136595,4.017084941558452,0.8349836097476223,0.23727703040662387,3.590249839348728,2.682608793287795,1.0006328810563596,4.1301871837561865,0.28967918024617556,0.15878963690174241,0.10665674166611241
batch3,25.0,0.9212240560662462,0.8503527888331972,2.15895668591347,1.1356677055382274,1.5432573705758432,2.472040953498735,1.3590231062991887,1.1719529003570817,2.3062341523097074,0.9823511413107859,1.2959325739706242,2.096907629531595,0.2429594444360033,0.09574568246623313,0.09442247075903461
batch3,0.0,0.7934628966921048,0.5279678918946016,3.6757689323879896,1.0107727869881415,0.8599042167943158,3.138570033952601,1.3802295548463623,0.9878141209955974,3.1426497064413077,0.8535077211098969,0.8563494405154689,4.069797150353498,0.1345553360676005,0.10296794475276218,0.21790663431770002
batch3,40.0,1.3234311172675246,0.7356178803830634,1.0875305221666325,1.912530329755215,1.3749198805036107,1.7228779107473484,0.9820188850906277,0.5149321832432422,0.8478019767846009,1.4116660028399681,0.5186024449986364,1.3890723456347207,0.09145667179101477,0.05074875464018683,0.09670606879217945
batch3,30.0,1.3391262566564592,0.5712783462177393,1.0020862927086964,1.873477433657562,0.5955425713465782,1.1017607835298078,1.4344566351168664,0.6092594288043415,0.8628125689092253,2.6085607551857124,0.8401221749203597,0.9561236211538757,0.19518782314462,0.05378775552754351,0.09700206189554568
batch3,50.0,1.1225891287817344,0.7508105512613111,2.2564061791229713,1.1365620473564022,1.1091228158618947,2.028708167518671,1.1627725723584574,1.0997562277522992,2.1011273135877335,1.4233455455071258,0.7572323309116692,2.237960635897433,0.10172675072836831,0.1005879333183327,0.1294077586111889
batch3,0.5,2.4709188020757984,0.5813372880778922,4.0873658443260865,2.917862873732077,1.1292923039817762,3.9061231758316777,2.4069760776379123,0.2683246583386581,3.6202833141514583,2.998857262096896,0.938728874652266,4.031245001455118,0.21305467167317202,0.12147146354388891,0.17494898150509555
batch3,1.0,0.7845658852747963,0.5198200378485185,1.6475289693566035,1.2691343236616017,0.6244394829862645,1.5851369483159987,1.0127626971787778,0.730308491019222,1.4671310139683758,0.9729864920642375,0.640824925164459,1.907491837087197,0.25410989974449155,0.2585012587227101,0.2636528551612288
batch3,5.0,0.5892970456496809,0.3260213978260926,3.0078380311779456,1.2432204056688465,0.3029262941672094,3.1854272416668703,0.8382691990053261,0.7499885821482287,2.5474806938033114,3.3993400377735647,3.522190284621429,4.107422357871625,0.1244954949727807,0.12398243592167121,0.11925133934250899
