image,concentration,meanB,meanG,meanR,modeB,modeG,modeR,minB,minG,minR,maxB,maxG,maxR,stdB,stdG,stdR
batch1,2.5,2.983378539107903,3.00891954027291,3.1115590834688365,3.429285639896449,2.9257477676655586,3.773592452822642,1.16619037896906,2.33238075793812,2.4819347291981715,3.1999999999999997,3.261901286060018,2.8,0.13023597370678935,0.09172246041976292,0.14041383785314512
batch1,2.0,2.210770099361398,2.1830092946395245,2.3617302333868335,2.1540659228538015,2.0591260281974,2.0976176963403033,1.16619037896906,2.0976176963403033,2.3151673805580453,3.0066592756745814,3.370459909270543,2.416609194718914,0.07951350837437343,0.08169089751805438,0.13680704323982393
batch1,8.0,2.97507497715741,2.845983632556055,3.105950594213217,3.3466401061363023,2.9393876913398134,3.261901286060018,2.416609194718914,3.059411708155671,3.6110940170535577,4.749736834815167,4.560701700396552,5.2,0.17764551900339398,0.17207193334161602,0.19095856441331308
batch1,20.0,4.176699969700024,3.853411628887418,3.4837014357071636,5.238320341483518,4.019950248448356,3.8262252939417984,3.878143885933063,3.4871191548325386,3.9191835884530852,5.161395160225576,5.15363949069005,3.9496835316262997,0.2642310679063964,0.17846130962988127,0.29237473386870755
batch1,10.0,3.489846575887808,2.9963068192142432,3.171499017775009,4.534313619501853,2.33238075793812,3.3704599092705436,3.6110940170535573,2.7856776554368237,3.32264954516723,4.454211490264018,3.8262252939417984,3.8262252939417984,0.15285944408612642,0.10597201108561607,0.1756542645278424
batch1,15.0,2.963649537194412,2.999812564642372,2.7661444151574184,2.315167380558045,3.0066592756745814,2.576819745345025,2.898275349237888,2.7856776554368237,3.03315017762062,3.8678159211627436,4.019950248448356,3.826225293941798,0.20808601008725958,0.12218380702256101,0.1674791508790626
batch1,25.0,4.11744614712403,4.01508352908069,3.0776943051420824,4.409081537009721,4.833218389437829,3.4409301068170506,4.223742416388575,4.147288270665544,4.308131845707604,3.7416573867739413,4.09878030638384,3.4292856398964493,0.17821552147767775,0.1411111538592602,0.30820634101651995
batch1,0.0,2.6488147724693456,2.6793625448835403,2.877564737125503,3.1622776601683795,1.6733200530681511,4.223742416388576,2.9257477676655586,2.8705400188814645,2.8705400188814645,2.4979991993593593,3.1874754901018454,2.756809750418044,0.19174489585645724,0.12412700343175967,0.10270394881672242
batch1,40.0,4.022277516984505,3.8275417495230215,3.573813702009124,3.867815921162743,4.409081537009721,3.7202150475476548,3.9293765408777,3.7735924528226414,3.7735924528226414,4.707440918375928,3.7735924528226414,4.049691346263317,0.410601057073543,0.130777247679223,0.16240511230449087
batch1,30.0,2.238949126310252,2.5454277151524525,1.9288848052603225,3.1999999999999997,3.4409301068170506,1.5491933384829668,2.7856776554368237,3.03315017762062,2.993325909419153,1.9595917942265424,2.33238075793812,2.0,0.23968723426031974,0.14595526042238516,0.22985058329698954
