B,G,R
96.32,86.32,102.32
96.32,86.32,102.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,101.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
94.32,86.32,104.32
95.32,87.32,105.32
96.32,88.32,106.32
95.32,87.32,105.32
94.32,86.32,104.32
93.32,85.32,103.32
94.32,86.32,104.32
94.32,86.32,104.32
94.32,86.32,104.32
93.32,85.32,103.32
92.32,84.32,102.32
92.32,84.32,102.32
92.32,84.32,102.32
93.32,85.32,103.32
93.32,85.32,103.32
93.32,85.32,103.32
94.32,86.32,104.32
93.32,85.32,103.32
93.32,85.32,103.32
92.32,84.32,102.32
93.32,85.32,103.32
94.32,86.32,104.32
93.32,85.32,103.32
92.32,84.32,102.32
92.32,84.32,102.32
93.32,85.32,103.32
94.32,86.32,104.32
95.32,87.32,105.32
95.32,87.32,105.32
93.32,85.32,103.32
93.32,85.32,103.32
94.32,86.32,104.32
95.32,87.32,105.32
96.32,88.32,106.32
95.32,87.32,105.32
94.32,85.32,105.32
93.32,84.32,104.32
93.32,84.32,104.32
93.32,84.32,104.32
92.32,83.32,103.32
92.32,83.32,103.32
93.32,84.32,104.32
94.32,85.32,105.32
95.32,86.32,106.32
96.32,87.32,107.32
97.32,89.32,107.32
96.32,88.32,106.32
95.32,87.32,105.32
95.32,87.32,105.32
95.32,87.32,105.32
95.32,87.32,105.32
96.32,87.32,107.32
96.32,87.32,107.32
96.32,87.32,107.32
96.32,87.32,107.32
96.32,87.32,107.32
96.32,87.32,107.32
96.32,87.32,107.32
95.32,86.32,106.32
95.32,86.32,106.32
95.32,86.32,106.32
97.32,89.32,107.32
96.32,88.32,106.32
96.32,88.32,106.32
95.32,87.32,105.32
95.32,87.32,105.32
94.32,86.32,104.32
93.32,85.32,103.32
93.32,85.32,103.32
